statistic,statistic_label,tlist(a1),year,c02339v02812,county,c03346v04033,dwelling_status,c03341v04028,stamp_duty_event,c03344v04031,type_of_buyer,c03342v04029,type_of_sale,unit,value
HPA02C01,Volume Of Sales,2010,2010,15,Kerry,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,396.0
HPA02C01,Volume Of Sales,2010,2010,15,Kerry,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,380.0
HPA02C01,Volume Of Sales,2010,2010,15,Kerry,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,377.0
HPA02C01,Volume Of Sales,2010,2010,15,Kerry,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,362.0
HPA02C01,Volume Of Sales,2010,2010,16,Limerick,01,New,1,Filings,-,All Buyer Types,01,Market,Number,248.0
HPA02C01,Volume Of Sales,2010,2010,16,Limerick,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,234.0
HPA02C01,Volume Of Sales,2010,2010,16,Limerick,01,New,2,Executions,-,All Buyer Types,01,Market,Number,176.0
HPA02C01,Volume Of Sales,2010,2010,16,Limerick,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,173.0
HPA02C01,Volume Of Sales,2010,2010,16,Limerick,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,500.0
HPA02C01,Volume Of Sales,2010,2010,16,Limerick,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,497.0
HPA02C01,Volume Of Sales,2010,2010,16,Limerick,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,483.0
HPA02C01,Volume Of Sales,2010,2010,16,Limerick,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,480.0
HPA02C01,Volume Of Sales,2010,2010,17,Tipperary,01,New,1,Filings,-,All Buyer Types,01,Market,Number,161.0
HPA02C01,Volume Of Sales,2010,2010,17,Tipperary,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,152.0
HPA02C01,Volume Of Sales,2010,2010,17,Tipperary,01,New,2,Executions,-,All Buyer Types,01,Market,Number,124.0
HPA02C01,Volume Of Sales,2010,2010,17,Tipperary,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,115.0
HPA02C01,Volume Of Sales,2010,2010,17,Tipperary,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,350.0
HPA02C01,Volume Of Sales,2010,2010,17,Tipperary,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,340.0
HPA02C01,Volume Of Sales,2010,2010,17,Tipperary,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,316.0
HPA02C01,Volume Of Sales,2010,2010,17,Tipperary,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,310.0
HPA02C01,Volume Of Sales,2010,2010,18,Waterford,01,New,1,Filings,-,All Buyer Types,01,Market,Number,114.0
HPA02C01,Volume Of Sales,2010,2010,18,Waterford,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,111.0
HPA02C01,Volume Of Sales,2010,2010,18,Waterford,01,New,2,Executions,-,All Buyer Types,01,Market,Number,86.0
HPA02C01,Volume Of Sales,2010,2010,18,Waterford,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,82.0
HPA02C01,Volume Of Sales,2010,2010,18,Waterford,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,304.0
HPA02C01,Volume Of Sales,2010,2010,18,Waterford,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,295.0
